location,party_a,party_b,year
Burundi,Government of Burundi,RED-TABARA,2019
Burundi,Government of Burundi,"FNL-Ubugabo-Burihabwa, RED-TABARA",2020
Burundi,Government of Burundi,RED-TABARA,2021
Burundi,Government of Burundi,"FNL-Ubugabo-Burihabwa, RED-TABARA",2022
Burundi,Government of Burundi,RED-TABARA,2023
Chad,Government of Chad,Frolinat,1966
Chad,Government of Chad,Frolinat,1967
Chad,Government of Chad,Frolinat,1968
Chad,Government of Chad,Frolinat,1969
Chad,Government of Chad,Frolinat,1970
Chad,Government of Chad,"First Liberation Army, Second Liberation Army",1971
Chad,Government of Chad,First Liberation Army,1972
Chad,Government of Chad,FAN,1976
Chad,Government of Chad,"FAN, FAP",1977
Chad,Government of Chad,FAP,1978
Chad,Government of Chad,"FAN, FAP",1979
Chad,Government of Chad,FAN,1980
Chad,Government of Chad,FAN,1981
Chad,Government of Chad,"FAN, FAT",1982
Chad,Government of Chad,GUNT,1983
Chad,Government of Chad,GUNT,1984
Chad,Government of Chad,GUNT,1986
Chad,Government of Chad,CDR,1987
Chad,Government of Chad,"Islamic Legion, MOSANAT, Revolutionary Forces of 1 April",1989
Chad,Government of Chad,"Islamic Legion, MPS",1990
Chad,Government of Chad,"MDD, Military faction (forces of Maldoum Bada Abbas)",1991
Chad,Government of Chad,"CNR, CSNPD, FNT, MDD",1992
Chad,Government of Chad,"CNR, CSNPD, FNT, MDD",1993
Chad,Government of Chad,"CNR, CSNPD, FNT",1994
Chad,Government of Chad,"FARF, MDD",1997
Chad,Government of Chad,FARF,1998
Chad,Government of Chad,MDJT,1999
Chad,Government of Chad,MDJT,2000
Chad,Government of Chad,MDJT,2001
Chad,Government of Chad,MDJT,2002
Chad,Government of Chad,MDJT,2003
Chad,Government of Chad,FUCD,2005
Chad,Government of Chad,"FUCD, RAFD, UFDD",2006
Chad,Government of Chad,UFDD,2007
Chad,Government of Chad,AN,2008
Chad,Government of Chad,UFR,2009
Chad,Government of Chad,FPRN,2010
Chad,Government of Chad,CCMSR,2018
Chad,Government of Chad,CCMSR,2020
Chad,Government of Chad,FACT,2021
Chad,Government of Chad,CCMSR,2023
Colombia,Government of Colombia,FARC,1964
Colombia,Government of Colombia,FARC,1965
Colombia,Government of Colombia,"ELN, FARC",1966
Colombia,Government of Colombia,FARC,1967
Colombia,Government of Colombia,FARC,1968
Colombia,Government of Colombia,ELN,1969
Colombia,Government of Colombia,ELN,1970
Colombia,Government of Colombia,FARC,1971
Colombia,Government of Colombia,FARC,1972
Colombia,Government of Colombia,ELN,1973
Colombia,Government of Colombia,FARC,1974
Colombia,Government of Colombia,FARC,1975
Colombia,Government of Colombia,FARC,1976
Colombia,Government of Colombia,FARC,1977
Colombia,Government of Colombia,"FARC, M-19",1978
Colombia,Government of Colombia,"FARC, M-19",1979
Colombia,Government of Colombia,FARC,1980
Colombia,Government of Colombia,"FARC, M-19",1981
Colombia,Government of Colombia,"FARC, M-19",1982
Colombia,Government of Colombia,"FARC, M-19",1983
Colombia,Government of Colombia,"ELN, EPL, FARC, M-19",1984
Colombia,Government of Colombia,"ELN, FARC, M-19",1985
Colombia,Government of Colombia,"ELN, FARC, M-19",1986
Colombia,Government of Colombia,"ELN, EPL, FARC",1987
Colombia,Government of Colombia,"ELN, EPL, FARC, M-19",1988
Colombia,Government of Colombia,"ELN, EPL, FARC",1989
Colombia,Government of Colombia,"ELN, EPL, FARC",1990
Colombia,Government of Colombia,"ELN, FARC",1991
Colombia,Government of Colombia,"ELN, FARC",1992
Colombia,Government of Colombia,"ELN, FARC",1993
Colombia,Government of Colombia,"ELN, FARC",1994
Colombia,Government of Colombia,"ELN, FARC",1995
Colombia,Government of Colombia,"ELN, FARC",1996
Colombia,Government of Colombia,"ELN, FARC",1997
Colombia,Government of Colombia,"ELN, FARC",1998
Colombia,Government of Colombia,"ELN, FARC",1999
Colombia,Government of Colombia,"ELN, EPL - Megateo, FARC",2000
Colombia,Government of Colombia,"ELN, FARC",2001
Colombia,Government of Colombia,"ELN, EPL - Megateo, FARC",2002
Colombia,Government of Colombia,"ELN, FARC",2003
Colombia,Government of Colombia,"ELN, EPL - Megateo, FARC",2004
Colombia,Government of Colombia,"ELN, FARC",2005
Colombia,Government of Colombia,"ELN, FARC",2006
Colombia,Government of Colombia,FARC,2007
Colombia,Government of Colombia,"ELN, FARC",2008
Colombia,Government of Colombia,FARC,2009
Colombia,Government of Colombia,"ELN, FARC",2010
Colombia,Government of Colombia,FARC,2011
Colombia,Government of Colombia,FARC,2012
Colombia,Government of Colombia,"ELN, FARC",2013
Colombia,Government of Colombia,FARC,2014
Colombia,Government of Colombia,"ELN, FARC",2015
Colombia,Government of Colombia,ELN,2016
Colombia,Government of Colombia,"ELN, FARC-EMC",2018
Colombia,Government of Colombia,"ELN, FARC-EMC",2019
Colombia,Government of Colombia,FARC-EMC,2020
Colombia,Government of Colombia,"ELN, FARC-EMC",2021
Colombia,Government of Colombia,"ELN, FARC-EMC",2022
Colombia,Government of Colombia,"ELN, FARC-EMC",2023
Dominican Republic,Government of Dominican Republic,Military faction (constitutionalists),1965
Indonesia,Government of Indonesia,OPM,1965
Indonesia,Government of Indonesia,OPM,1967
Indonesia,Government of Indonesia,OPM,1968
Indonesia,Government of Indonesia,OPM,1969
Indonesia,Government of Indonesia,OPM,1976
Indonesia,Government of Indonesia,OPM,1977
Indonesia,Government of Indonesia,OPM,1978
Indonesia,Government of Indonesia,OPM,1981
Indonesia,Government of Indonesia,OPM,1984
Indonesia,Government of Indonesia,OPM,2018
Indonesia,Government of Indonesia,OPM,2021
Indonesia,Government of Indonesia,OPM,2022
Indonesia,Government of Indonesia,OPM,2023
Peru,Government of Peru,"ELN, MIR",1965
Peru,Government of Peru,Sendero Luminoso,1982
Peru,Government of Peru,Sendero Luminoso,1983
Peru,Government of Peru,Sendero Luminoso,1984
Peru,Government of Peru,Sendero Luminoso,1985
Peru,Government of Peru,Sendero Luminoso,1986
Peru,Government of Peru,Sendero Luminoso,1987
Peru,Government of Peru,Sendero Luminoso,1988
Peru,Government of Peru,"MRTA, Sendero Luminoso",1989
Peru,Government of Peru,"MRTA, Sendero Luminoso",1990
Peru,Government of Peru,"MRTA, Sendero Luminoso",1991
Peru,Government of Peru,"MRTA, Sendero Luminoso",1992
Peru,Government of Peru,"MRTA, Sendero Luminoso",1993
Peru,Government of Peru,Sendero Luminoso,1994
Peru,Government of Peru,Sendero Luminoso,1995
Peru,Government of Peru,Sendero Luminoso,1996
Peru,Government of Peru,Sendero Luminoso,1997
Peru,Government of Peru,Sendero Luminoso,1998
Peru,Government of Peru,Sendero Luminoso,1999
Peru,Government of Peru,Sendero Luminoso,2007
Peru,Government of Peru,Sendero Luminoso,2008
Peru,Government of Peru,Sendero Luminoso,2009
Peru,Government of Peru,Sendero Luminoso,2010
"South Vietnam, Vietnam (North Vietnam)",Government of South Vietnam,Government of Vietnam (North Vietnam),1965
"South Vietnam, Vietnam (North Vietnam)",Government of South Vietnam,Government of Vietnam (North Vietnam),1966
"South Vietnam, Vietnam (North Vietnam)",Government of South Vietnam,Government of Vietnam (North Vietnam),1967
"South Vietnam, Vietnam (North Vietnam)",Government of South Vietnam,Government of Vietnam (North Vietnam),1968
"South Vietnam, Vietnam (North Vietnam)",Government of South Vietnam,Government of Vietnam (North Vietnam),1969
"South Vietnam, Vietnam (North Vietnam)",Government of South Vietnam,Government of Vietnam (North Vietnam),1970
"South Vietnam, Vietnam (North Vietnam)",Government of South Vietnam,Government of Vietnam (North Vietnam),1971
"South Vietnam, Vietnam (North Vietnam)",Government of South Vietnam,Government of Vietnam (North Vietnam),1972
"South Vietnam, Vietnam (North Vietnam)",Government of South Vietnam,Government of Vietnam (North Vietnam),1973
"South Vietnam, Vietnam (North Vietnam)",Government of South Vietnam,Government of Vietnam (North Vietnam),1974
"South Vietnam, Vietnam (North Vietnam)",Government of South Vietnam,Government of Vietnam (North Vietnam),1975
"Cambodia (Kampuchea), Thailand",Government of Cambodia (Kampuchea),Government of Thailand,1977
"Cambodia (Kampuchea), Thailand",Government of Cambodia (Kampuchea),Government of Thailand,1978
"Cambodia (Kampuchea), Thailand",Government of Cambodia (Kampuchea),Government of Thailand,2011
Ghana,Government of Ghana,NLC,1966
Ghana,Government of Ghana,Military faction (forces of Jerry John Rawlings),1981
Ghana,Government of Ghana,Military faction (forces of Ekow Dennis and Edward Adjei-Ampofo),1983
India,Government of India,MNF,1966
India,Government of India,MNF,1967
India,Government of India,MNF,1968
Nigeria,Government of Nigeria,Military faction (forces of Patrick Nzeogwu),1966
Nigeria,Government of Nigeria,JAS,2009
Nigeria,Government of Nigeria,JAS,2011
Nigeria,Government of Nigeria,JAS,2012
Nigeria,Government of Nigeria,JAS,2013
Nigeria,Government of Nigeria,JAS,2014
Nigeria,Government of Nigeria,JAS,2015
Nigeria,Government of Nigeria,JAS,2016
Nigeria,Government of Nigeria,JAS,2017
Nigeria,Government of Nigeria,JAS,2018
Nigeria,Government of Nigeria,JAS,2019
Nigeria,Government of Nigeria,JAS,2020
Nigeria,Government of Nigeria,JAS,2021
Nigeria,Government of Nigeria,JAS,2022
Nigeria,Government of Nigeria,JAS,2023
South Africa,Government of South Africa,SWAPO,1966
South Africa,Government of South Africa,SWAPO,1967
South Africa,Government of South Africa,SWAPO,1968
South Africa,Government of South Africa,SWAPO,1969
South Africa,Government of South Africa,SWAPO,1970
South Africa,Government of South Africa,SWAPO,1971
South Africa,Government of South Africa,SWAPO,1972
South Africa,Government of South Africa,SWAPO,1973
South Africa,Government of South Africa,SWAPO,1974
South Africa,Government of South Africa,SWAPO,1975
South Africa,Government of South Africa,SWAPO,1976
South Africa,Government of South Africa,SWAPO,1977
South Africa,Government of South Africa,SWAPO,1978
South Africa,Government of South Africa,SWAPO,1979
South Africa,Government of South Africa,SWAPO,1980
South Africa,Government of South Africa,SWAPO,1981
South Africa,Government of South Africa,SWAPO,1982
South Africa,Government of South Africa,SWAPO,1983
South Africa,Government of South Africa,SWAPO,1984
South Africa,Government of South Africa,SWAPO,1985
South Africa,Government of South Africa,SWAPO,1986
South Africa,Government of South Africa,SWAPO,1987
South Africa,Government of South Africa,SWAPO,1988
South Africa,Government of South Africa,SWAPO,1989
Syria,Government of Syria,Military faction (forces loyal to Nureddin Atassi and Youssef Zeayen),1966
Syria,Government of Syria,Muslim Brotherhood,1979
Syria,Government of Syria,Muslim Brotherhood,1980
Syria,Government of Syria,Muslim Brotherhood,1981
Syria,Government of Syria,Muslim Brotherhood,1982
Syria,Government of Syria,Syrian insurgents,2011
Syria,Government of Syria,Syrian insurgents,2012
Syria,Government of Syria,Syrian insurgents,2013
Syria,Government of Syria,Syrian insurgents,2014
Syria,Government of Syria,Syrian insurgents,2015
Syria,Government of Syria,Syrian insurgents,2016
Syria,Government of Syria,Syrian insurgents,2017
Syria,Government of Syria,Syrian insurgents,2018
Syria,Government of Syria,Syrian insurgents,2019
Syria,Government of Syria,Syrian insurgents,2020
Syria,Government of Syria,Syrian insurgents,2021
Syria,Government of Syria,Syrian insurgents,2022
Syria,Government of Syria,Syrian insurgents,2023
Cambodia (Kampuchea),Government of Cambodia (Kampuchea),KR,1967
Cambodia (Kampuchea),Government of Cambodia (Kampuchea),KR,1968
Cambodia (Kampuchea),Government of Cambodia (Kampuchea),KR,1969
Cambodia (Kampuchea),Government of Cambodia (Kampuchea),KR,1970
Cambodia (Kampuchea),Government of Cambodia (Kampuchea),KR,1971
Cambodia (Kampuchea),Government of Cambodia (Kampuchea),KR,1972
Cambodia (Kampuchea),Government of Cambodia (Kampuchea),KR,1973
Cambodia (Kampuchea),Government of Cambodia (Kampuchea),KR,1974
Cambodia (Kampuchea),Government of Cambodia (Kampuchea),KR,1975
Cambodia (Kampuchea),Government of Cambodia (Kampuchea),KNUFNS,1978
Cambodia (Kampuchea),Government of Cambodia (Kampuchea),"KNUFNS, KPNLF, KR",1979
Cambodia (Kampuchea),Government of Cambodia (Kampuchea),"KPNLF, KR",1980
Cambodia (Kampuchea),Government of Cambodia (Kampuchea),"KPNLF, KR",1981
Cambodia (Kampuchea),Government of Cambodia (Kampuchea),"FUNCINPEC, KPNLF, KR",1982
Cambodia (Kampuchea),Government of Cambodia (Kampuchea),"FUNCINPEC, KPNLF, KR",1983
Cambodia (Kampuchea),Government of Cambodia (Kampuchea),"FUNCINPEC, KPNLF, KR",1984
Cambodia (Kampuchea),Government of Cambodia (Kampuchea),"FUNCINPEC, KPNLF, KR",1985
Cambodia (Kampuchea),Government of Cambodia (Kampuchea),"FUNCINPEC, KPNLF, KR",1986
Cambodia (Kampuchea),Government of Cambodia (Kampuchea),"FUNCINPEC, KPNLF, KR",1987
Cambodia (Kampuchea),Government of Cambodia (Kampuchea),"FUNCINPEC, KPNLF, KR",1988
Cambodia (Kampuchea),Government of Cambodia (Kampuchea),"FUNCINPEC, KPNLF, KR",1989
Cambodia (Kampuchea),Government of Cambodia (Kampuchea),"KPNLF, KR",1990
Cambodia (Kampuchea),Government of Cambodia (Kampuchea),"FUNCINPEC, KPNLF, KR",1991
Cambodia (Kampuchea),Government of Cambodia (Kampuchea),KR,1992
Cambodia (Kampuchea),Government of Cambodia (Kampuchea),KR,1993
Cambodia (Kampuchea),Government of Cambodia (Kampuchea),KR,1994
Cambodia (Kampuchea),Government of Cambodia (Kampuchea),KR,1995
Cambodia (Kampuchea),Government of Cambodia (Kampuchea),KR,1996
Cambodia (Kampuchea),Government of Cambodia (Kampuchea),"Forces of Norodom Ranariddh, KR, Military faction (Forces of Hun Sen)",1997
Cambodia (Kampuchea),Government of Cambodia (Kampuchea),"Forces of Norodom Ranariddh, KR",1998
"Israel, Jordan",Government of Israel,Government of Jordan,1967
"Israel, Syria",Government of Israel,Government of Syria,1967
"Israel, Syria",Government of Israel,Government of Syria,1973
Nigeria,Government of Nigeria,Republic of Biafra,1967
Nigeria,Government of Nigeria,Republic of Biafra,1968
Nigeria,Government of Nigeria,Republic of Biafra,1969
Nigeria,Government of Nigeria,Republic of Biafra,1970
Nigeria,Government of Nigeria,IPOB,2021
Nigeria,Government of Nigeria,IPOB,2022
Nigeria,Government of Nigeria,IPOB,2023
"China, Myanmar (Burma)",Government of China,Government of Myanmar (Burma),1969
"China, Russia (Soviet Union)",Government of China,Government of Russia (Soviet Union),1969
"El Salvador, Honduras",Government of El Salvador,Government of Honduras,1969
Guinea,Government of Guinea,RFDG,2000
Guinea,Government of Guinea,RFDG,2001
Philippines,Government of Philippines,MIM,1970
Philippines,Government of Philippines,MIM,1971
Philippines,Government of Philippines,MNLF,1972
Philippines,Government of Philippines,MNLF,1973
Philippines,Government of Philippines,MNLF,1974
Philippines,Government of Philippines,MNLF,1975
Philippines,Government of Philippines,MNLF,1976
Philippines,Government of Philippines,MNLF,1977
Philippines,Government of Philippines,MNLF,1978
Philippines,Government of Philippines,MNLF,1979
Philippines,Government of Philippines,MNLF,1980
Philippines,Government of Philippines,MNLF,1981
Philippines,Government of Philippines,MNLF,1982
Philippines,Government of Philippines,MNLF,1983
Philippines,Government of Philippines,MNLF,1984
Philippines,Government of Philippines,MNLF,1985
Philippines,Government of Philippines,MNLF,1986
Philippines,Government of Philippines,MNLF,1987
Philippines,Government of Philippines,MNLF,1988
Philippines,Government of Philippines,MNLF,1989
Philippines,Government of Philippines,"MILF, MNLF",1990
Philippines,Government of Philippines,"ASG, MNLF",1993
Philippines,Government of Philippines,"ASG, MILF",1994
Philippines,Government of Philippines,ASG,1995
Philippines,Government of Philippines,"ASG, MILF",1996
Philippines,Government of Philippines,"ASG, MILF",1997
Philippines,Government of Philippines,"ASG, MILF",1998
Philippines,Government of Philippines,MILF,1999
Philippines,Government of Philippines,"ASG, MILF",2000
Philippines,Government of Philippines,"ASG, MILF, MNLF - NM",2001
Philippines,Government of Philippines,"ASG, MILF",2002
Philippines,Government of Philippines,"ASG, MILF",2003
Philippines,Government of Philippines,"ASG, MILF",2004
Philippines,Government of Philippines,"ASG, MILF, MNLF - NM",2005
Philippines,Government of Philippines,ASG,2006
Philippines,Government of Philippines,"ASG, MILF, MNLF - HM",2007
Philippines,Government of Philippines,MILF,2008
Philippines,Government of Philippines,"ASG, MILF",2009
Philippines,Government of Philippines,ASG,2010
Philippines,Government of Philippines,"ASG, MILF",2011
Philippines,Government of Philippines,"ASG, BIFM",2012
Philippines,Government of Philippines,"ASG, BIFM, MNLF - NM",2013
Philippines,Government of Philippines,"ASG, BIFM",2014
Philippines,Government of Philippines,"ASG, BIFM, MILF",2015
Philippines,Government of Philippines,"al-Harakat al-Islamiyah, ASG, BIFM, Maute group",2016
Philippines,Government of Philippines,ASG,2017
Philippines,Government of Philippines,"ASG, BIFM-K",2018
Philippines,Government of Philippines,ASG,2019
Philippines,Government of Philippines,ASG,2020
Sudan,Government of Sudan,Sudanese Communist Party,1971
Sudan,Government of Sudan,National Front,1976
Sudan,Government of Sudan,SPLM/A,1983
Sudan,Government of Sudan,SPLM/A,1984
Sudan,Government of Sudan,SPLM/A,1985
Sudan,Government of Sudan,SPLM/A,1986
Sudan,Government of Sudan,SPLM/A,1987
Sudan,Government of Sudan,SPLM/A,1988
Sudan,Government of Sudan,SPLM/A,1989
Sudan,Government of Sudan,SPLM/A,1990
Sudan,Government of Sudan,SPLM/A,1991
Sudan,Government of Sudan,SPLM/A,1992
Sudan,Government of Sudan,SPLM/A,1993
Sudan,Government of Sudan,SPLM/A,1994
Sudan,Government of Sudan,SPLM/A,1995
Sudan,Government of Sudan,"NDA, SPLM/A",1996
Sudan,Government of Sudan,"NDA, SPLM/A",1997
Sudan,Government of Sudan,"NDA, SPLM/A",1998
Sudan,Government of Sudan,"NDA, SPLM/A",1999
Sudan,Government of Sudan,"NDA, SPLM/A",2000
Sudan,Government of Sudan,"NDA, SPLM/A",2001
Sudan,Government of Sudan,SPLM/A,2002
Sudan,Government of Sudan,"JEM, SLM/A, SPLM/A",2003
Sudan,Government of Sudan,"JEM, SLM/A, SPLM/A",2004
Sudan,Government of Sudan,SLM/A,2005
Sudan,Government of Sudan,"NRF, SLM/A, SLM/A - MM",2006
Sudan,Government of Sudan,"JEM, SLFA",2007
Sudan,Government of Sudan,"JEM, SLFA, SLM/A",2008
Sudan,Government of Sudan,"JEM, SLM/A",2009
Sudan,Government of Sudan,"JEM, SLM/A, SSDM/A",2010
Sudan,Government of Sudan,"JEM, SLM/A, SPLM/A-North, SRF, SSDM/A, SSLM/A",2011
Sudan,Government of Sudan,SRF,2012
Sudan,Government of Sudan,SRF,2013
Sudan,Government of Sudan,"Darfur Joint Resistance Forces, SARC, SRF",2014
Sudan,Government of Sudan,"Darfur Joint Resistance Forces, SPLM/A-North, SRF",2015
Sudan,Government of Sudan,"SPLM/A-North, SRF",2016
Sudan,Government of Sudan,"SARC, SLM/A, SRF",2017
Sudan,Government of Sudan,SLM/A,2018
Sudan,Government of Sudan,SLM/A,2020
Sudan,Government of Sudan,SLM/A,2021
Sudan,Government of Sudan,SLM/A,2022
Sudan,Government of Sudan,"RSF, SPLM/A-North",2023
Madagascar (Malagasy),Government of Madagascar,Monima,1971
Morocco,Government of Morocco,Military faction (forces of Mohamed Madbouh),1971
Pakistan,Government of Pakistan,Mukti Bahini,1971
Sri Lanka,Government of Sri Lanka,JVP,1971
Sri Lanka,Government of Sri Lanka,JVP,1989
Sri Lanka,Government of Sri Lanka,JVP,1990
Uganda,Government of Uganda,Military faction (forces of Idi Amin),1971
Uganda,Government of Uganda,Kikosi Maalum,1972
Uganda,Government of Uganda,Military faction (forces of Charles Arube),1974
Uganda,Government of Uganda,"Fronasa, Kikosi Maalum, UNLF",1979
Uganda,Government of Uganda,FUNA,1980
Uganda,Government of Uganda,"FUNA, NRA, UNRF",1981
Uganda,Government of Uganda,"NRA, UFM, UNRF",1982
Uganda,Government of Uganda,"NRA, UNRF",1983
Uganda,Government of Uganda,NRA,1984
Uganda,Government of Uganda,NRA,1985
Uganda,Government of Uganda,"HSM, NRA, UPDA",1986
Uganda,Government of Uganda,"HSM, UPA, UPDA",1987
Uganda,Government of Uganda,"Lord's Army, LRA, UPA",1988
Uganda,Government of Uganda,"LRA, UPA",1989
Uganda,Government of Uganda,"LRA, UPA",1990
Uganda,Government of Uganda,"LRA, UPA",1991
Uganda,Government of Uganda,UPA,1992
Uganda,Government of Uganda,LRA,1994
Uganda,Government of Uganda,LRA,1995
Uganda,Government of Uganda,"ADF, LRA, WNBF",1996
Uganda,Government of Uganda,"ADF, LRA, UNRF II",1997
Uganda,Government of Uganda,"ADF, LRA",1998
Uganda,Government of Uganda,ADF,1999
Uganda,Government of Uganda,"ADF, LRA",2000
Uganda,Government of Uganda,"ADF, LRA",2001
Uganda,Government of Uganda,"ADF, LRA",2002
Uganda,Government of Uganda,LRA,2003
Uganda,Government of Uganda,LRA,2004
Uganda,Government of Uganda,LRA,2005
Uganda,Government of Uganda,LRA,2006
Uganda,Government of Uganda,ADF,2007
Uganda,Government of Uganda,LRA,2008
Uganda,Government of Uganda,LRA,2009
Uganda,Government of Uganda,"ADF, LRA",2010
Uganda,Government of Uganda,"ADF, LRA",2011
Uganda,Government of Uganda,"ADF, LRA",2013
Uganda,Government of Uganda,"ADF, LRA",2014
Uganda,Government of Uganda,ADF,2015
Uganda,Government of Uganda,ADF,2016
Uganda,Government of Uganda,ADF,2017
United Kingdom,Government of United Kingdom,PIRA,1971
United Kingdom,Government of United Kingdom,PIRA,1972
United Kingdom,Government of United Kingdom,PIRA,1973
United Kingdom,Government of United Kingdom,PIRA,1974
United Kingdom,Government of United Kingdom,PIRA,1975
United Kingdom,Government of United Kingdom,PIRA,1976
United Kingdom,Government of United Kingdom,PIRA,1977
United Kingdom,Government of United Kingdom,PIRA,1978
United Kingdom,Government of United Kingdom,PIRA,1979
United Kingdom,Government of United Kingdom,PIRA,1980
United Kingdom,Government of United Kingdom,PIRA,1981
United Kingdom,Government of United Kingdom,PIRA,1982
United Kingdom,Government of United Kingdom,PIRA,1983
United Kingdom,Government of United Kingdom,PIRA,1984
United Kingdom,Government of United Kingdom,PIRA,1985
United Kingdom,Government of United Kingdom,PIRA,1986
United Kingdom,Government of United Kingdom,PIRA,1987
United Kingdom,Government of United Kingdom,PIRA,1988
United Kingdom,Government of United Kingdom,PIRA,1989
United Kingdom,Government of United Kingdom,PIRA,1990
United Kingdom,Government of United Kingdom,PIRA,1991
United Kingdom,Government of United Kingdom,RIRA,1998
El Salvador,Government of El Salvador,Military faction (forces of Benjamin Mejia),1972
El Salvador,Government of El Salvador,"ERP, FPL",1979
El Salvador,Government of El Salvador,FMLN,1980
El Salvador,Government of El Salvador,FMLN,1981
El Salvador,Government of El Salvador,FMLN,1982
El Salvador,Government of El Salvador,FMLN,1983
El Salvador,Government of El Salvador,FMLN,1984
El Salvador,Government of El Salvador,FMLN,1985
El Salvador,Government of El Salvador,FMLN,1986
El Salvador,Government of El Salvador,FMLN,1987
El Salvador,Government of El Salvador,FMLN,1988
El Salvador,Government of El Salvador,FMLN,1989
El Salvador,Government of El Salvador,FMLN,1990
El Salvador,Government of El Salvador,FMLN,1991
Oman,Government of Oman,PFLO,1969
Oman,Government of Oman,PFLO,1970
Oman,Government of Oman,PFLO,1971
Oman,Government of Oman,PFLO,1972
Oman,Government of Oman,PFLO,1973
Oman,Government of Oman,PFLO,1974
Oman,Government of Oman,PFLO,1975
Zimbabwe (Rhodesia),Government of Zimbabwe (Rhodesia),ZAPU,1967
Zimbabwe (Rhodesia),Government of Zimbabwe (Rhodesia),ZAPU,1968
Zimbabwe (Rhodesia),Government of Zimbabwe (Rhodesia),"ZANU, ZAPU",1973
Zimbabwe (Rhodesia),Government of Zimbabwe (Rhodesia),"ZANU, ZAPU",1974
Zimbabwe (Rhodesia),Government of Zimbabwe (Rhodesia),ZANU,1975
Zimbabwe (Rhodesia),Government of Zimbabwe (Rhodesia),"PF, ZANU",1976
Zimbabwe (Rhodesia),Government of Zimbabwe (Rhodesia),PF,1977
Zimbabwe (Rhodesia),Government of Zimbabwe (Rhodesia),PF,1978
Zimbabwe (Rhodesia),Government of Zimbabwe (Rhodesia),PF,1979
Uruguay,Government of Uruguay,MLN/Tupamaros,1972
"South Yemen, Yemen (North Yemen)",Government of South Yemen,Government of Yemen (North Yemen),1972
"South Yemen, Yemen (North Yemen)",Government of South Yemen,Government of Yemen (North Yemen),1979
Chile,Government of Chile,"Military faction (forces of Augusto Pinochet, Toribio Merino and Leigh Guzman)",1973
Bangladesh,Government of Bangladesh,PCJSS,1975
Bangladesh,Government of Bangladesh,PCJSS,1976
Bangladesh,Government of Bangladesh,PCJSS,1977
Bangladesh,Government of Bangladesh,PCJSS,1978
Bangladesh,Government of Bangladesh,PCJSS,1979
Bangladesh,Government of Bangladesh,PCJSS,1980
Bangladesh,Government of Bangladesh,PCJSS,1981
Bangladesh,Government of Bangladesh,PCJSS,1982
Bangladesh,Government of Bangladesh,PCJSS,1983
Bangladesh,Government of Bangladesh,PCJSS,1984
Bangladesh,Government of Bangladesh,PCJSS,1985
Bangladesh,Government of Bangladesh,PCJSS,1986
Bangladesh,Government of Bangladesh,PCJSS,1987
Bangladesh,Government of Bangladesh,PCJSS,1988
Bangladesh,Government of Bangladesh,PCJSS,1989
Bangladesh,Government of Bangladesh,PCJSS,1990
Bangladesh,Government of Bangladesh,PCJSS,1991
"Cyprus, Turkey",Government of Cyprus,Government of Turkey,1974
"Iran, Iraq",Government of Iran,Government of Iraq,1974
"Iran, Iraq",Government of Iran,Government of Iraq,1980
"Iran, Iraq",Government of Iran,Government of Iraq,1981
"Iran, Iraq",Government of Iran,Government of Iraq,1982
"Iran, Iraq",Government of Iran,Government of Iraq,1983
"Iran, Iraq",Government of Iran,Government of Iraq,1984
"Iran, Iraq",Government of Iran,Government of Iraq,1985
"Iran, Iraq",Government of Iran,Government of Iraq,1986
"Iran, Iraq",Government of Iran,Government of Iraq,1987
"Iran, Iraq",Government of Iran,Government of Iraq,1988
Pakistan,Government of Pakistan,BLF,1974
Pakistan,Government of Pakistan,BLF,1975
Pakistan,Government of Pakistan,BLF,1976
Pakistan,Government of Pakistan,BLF,1977
Pakistan,Government of Pakistan,BLA,2004
Pakistan,Government of Pakistan,"Baloch Ittehad, BLA",2006
Pakistan,Government of Pakistan,BLA,2007
Pakistan,Government of Pakistan,"BLA, BRA",2008
Pakistan,Government of Pakistan,"BLA, BRA",2009
Pakistan,Government of Pakistan,BLA,2011
Pakistan,Government of Pakistan,"BLA, BLF, BRA",2012
Pakistan,Government of Pakistan,BLA,2013
Pakistan,Government of Pakistan,"BLA, BRA",2014
Pakistan,Government of Pakistan,"BLA, BLF, BRA",2015
Pakistan,Government of Pakistan,"BLA, UBA",2016
Pakistan,Government of Pakistan,BRAS,2019
Pakistan,Government of Pakistan,BRAS,2020
Pakistan,Government of Pakistan,BRAS,2021
Pakistan,Government of Pakistan,BRAS,2022
Pakistan,Government of Pakistan,BRAS,2023
Eritrea,Government of Eritrea,EIJM - AS,1997
Eritrea,Government of Eritrea,EIJM - AS,1999
Eritrea,Government of Eritrea,EIJM - AS,2003
Angola,Government of Angola,"FNLA, UNITA",1975
Angola,Government of Angola,"FNLA, UNITA",1976
Angola,Government of Angola,"FNLA, UNITA",1977
Angola,Government of Angola,"FNLA, UNITA",1978
Angola,Government of Angola,"FNLA, UNITA",1979
Angola,Government of Angola,UNITA,1980
Angola,Government of Angola,UNITA,1981
Angola,Government of Angola,UNITA,1982
Angola,Government of Angola,UNITA,1983
Angola,Government of Angola,UNITA,1984
Angola,Government of Angola,UNITA,1985
Angola,Government of Angola,UNITA,1986
Angola,Government of Angola,UNITA,1987
Angola,Government of Angola,UNITA,1988
Angola,Government of Angola,UNITA,1989
Angola,Government of Angola,UNITA,1990
