recipients,suppliers,year,quantity,weapon description,status
Australia,United Kingdom,1951,2,light helicopter,New
Australia,United Kingdom,1971,2,transport aircraft,New
Australia,United Kingdom,1965,8,transport aircraft,New
North Yemen,United Kingdom,1974,2,light transport aircraft,New
South Yemen,United Kingdom,1968,4,trainer/combat aircraft,New
UAE,United Kingdom,1970,6,APV,New
South Yemen,United Kingdom,1966,15,APV,New
Zambia,United Kingdom,1971,250,SAM,New
Lebanon,United Kingdom,1956,6,fighter aircraft,New
DR Congo,United Kingdom,1962,4,light transport aircraft,Second hand
DR Congo,United Kingdom,1962,1,transport aircraft,Second hand
Venezuela,United Kingdom,1955,5,trainer aircraft,Second hand
Venezuela,United Kingdom,1950,19,fighter aircraft,New
Venezuela,United Kingdom,1955,22,fighter aircraft,New
Venezuela,United Kingdom,1955,3,trainer aircraft,New
Venezuela,United Kingdom,1974,15,APV,New
Venezuela,United Kingdom,1968,20,SAM,New
New Zealand,United Kingdom,1974,6,trainer/combat aircraft,New
New Zealand,United Kingdom,1965,2,ASW helicopter,New
New Zealand,United Kingdom,1949,6,light aircraft,New
New Zealand,United Kingdom,1949,9,transport aircraft,New
New Zealand,United Kingdom,1949,4,transport aircraft,New
New Zealand,United Kingdom,1950,10,light transport aircraft,New
New Zealand,United Kingdom,1951,16,maritime patrol aircraft,Second hand but modernized
New Zealand,United Kingdom,1957,10,bomber aircraft,New
New Zealand,United Kingdom,1957,2,bomber aircraft,New
New Zealand,United Kingdom,1959,3,APV,New
Norway,United Kingdom,1951,6,trainer aircraft,New
Norway,United Kingdom,1952,6,maritime patrol aircraft,Second hand
Norway,United Kingdom,1949,36,fighter aircraft,New
New Zealand,United Kingdom,1950,3,tank,New
Uganda,United Kingdom,1963,15,APV,Second hand
Turkiye,United Kingdom,1971,2,light transport aircraft,New
Turkiye,United Kingdom,1985,36,SAM system,New
Turkiye,United Kingdom,1985,12,fire control radar,New
Lebanon,United Kingdom,1957,1,trainer aircraft,Second hand
Thailand,United Kingdom,1950,4,light helicopter,New
Thailand,United Kingdom,1974,1,light transport aircraft,New
Thailand,United Kingdom,1970,32,APV,New
Syria,United Kingdom,1950,1,light aircraft,Second hand
Syria,United Kingdom,1953,1,light transport aircraft,Second hand
Sudan,United Kingdom,1961,9,armoured car,New
Sudan,United Kingdom,1958,40,APV,New
Sudan,United Kingdom,1964,50,APC,Second hand
Sri Lanka,United Kingdom,1971,18,armoured car,New
Sudan,United Kingdom,1961,8,trainer aircraft,New
Sudan,United Kingdom,1960,4,trainer aircraft,New
Sudan,United Kingdom,1959,2,light transport aircraft,New
Sri Lanka,United Kingdom,1951,12,trainer aircraft,New
Sri Lanka,United Kingdom,1952,12,trainer aircraft,New
Sri Lanka,United Kingdom,1950,2,trainer aircraft,Second hand
Sri Lanka,United Kingdom,1954,6,light transport aircraft,New
Sri Lanka,United Kingdom,1957,6,light aircraft,New
Sri Lanka,United Kingdom,1957,12,trainer aircraft,New
Sri Lanka,United Kingdom,1958,4,light transport aircraft,New
Sri Lanka,United Kingdom,1959,30,APV,Second hand
Singapore,United Kingdom,1971,22,FGA aircraft,Second hand but modernized
Singapore,United Kingdom,1971,5,fighter aircraft,Second hand but modernized
Singapore,United Kingdom,1969,4,fighter aircraft,Second hand but modernized
Singapore,United Kingdom,1969,4,FGA aircraft,Second hand but modernized
Somalia,United Kingdom,1960,15,APV,New
Singapore,United Kingdom,1965,15,APV,Second hand
Singapore,United Kingdom,1969,12,FGA aircraft,Second hand but modernized
Saudi Arabia,United Kingdom,1951,15,armoured car,Second hand
Saudi Arabia,United Kingdom,1951,6,trainer aircraft,New
Saudi Arabia,United Kingdom,1955,12,trainer aircraft,Second hand
Saudi Arabia,United Kingdom,1971,10,trainer/combat aircraft,New
Saudi Arabia,United Kingdom,1954,15,armoured car,Second hand
South Africa,United Kingdom,1956,258,APC,New
South Africa,United Kingdom,1963,60,APV,New
South Africa,United Kingdom,1953,26,tank,Second hand
South Africa,United Kingdom,1963,4,ASW helicopter,New
South Africa,United Kingdom,1964,3,bomber aircraft,Second hand but modernized
South Africa,United Kingdom,1966,6,ASW helicopter,New
South Africa,United Kingdom,1962,6,bomber aircraft,New
South Africa,United Kingdom,1955,8,ASW aircraft,New
South Africa,United Kingdom,1953,5,light aircraft,New
South Africa,United Kingdom,1952,20,trainer aircraft,New
South Africa,United Kingdom,1952,30,fighter aircraft,New
Zimbabwe,United Kingdom,1959,30,APV,New
Zimbabwe,United Kingdom,1953,16,fighter aircraft,Second hand
Zimbabwe,United Kingdom,1959,4,transport aircraft,Second hand
Zimbabwe,United Kingdom,1951,11,fighter aircraft,Second hand
Zimbabwe,United Kingdom,1950,11,fighter aircraft,Second hand
Zimbabwe,United Kingdom,1953,16,trainer aircraft,New
Qatar,United Kingdom,1975,1,light transport aircraft,New
Qatar,United Kingdom,1969,4,FGA aircraft,New
Qatar,United Kingdom,1966,10,APV,New
Qatar,United Kingdom,1968,30,APC,New
Netherlands,United Kingdom,1963,13,ASW helicopter,New
Netherlands,United Kingdom,1955,22,fighter aircraft,New
New Zealand,United Kingdom,1951,6,trainer aircraft,New
Malaysia,United Kingdom,1958,6,trainer aircraft,Second hand
Malaysia,United Kingdom,1958,3,light transport aircraft,New
Malaysia,United Kingdom,1961,10,light transport aircraft,New
Mexico,United Kingdom,1960,15,armoured car,Second hand
Malaysia,United Kingdom,1962,4,light aircraft,New
Malaysia,United Kingdom,1961,12,trainer aircraft,Second hand
Malaysia,United Kingdom,1958,5,light aircraft,New
Malaysia,United Kingdom,1961,92,APV,New
Mauritius,United Kingdom,1970,4,APV,New
Libya,United Kingdom,1955,6,tank,Second hand
Libya,United Kingdom,1959,15,APC,New
Libya,United Kingdom,1960,40,armoured car,New
Libya,United Kingdom,1964,15,APV,New
Libya,United Kingdom,1968,15,APV,New
Lebanon,United Kingdom,1957,15,armoured car,Second hand
Lebanon,United Kingdom,1975,6,trainer aircraft,New
Lebanon,United Kingdom,1954,11,trainer aircraft,Second hand
New Zealand,United Kingdom,1950,18,fighter aircraft,New
Kuwait,United Kingdom,1961,2,helicopter,New
Kuwait,United Kingdom,1954,1,light transport aircraft,New
Kuwait,United Kingdom,1954,5,trainer aircraft,Second hand
Kuwait,United Kingdom,1953,3,light aircraft,Second hand
Kuwait,United Kingdom,1961,6,trainer aircraft,New
Kuwait,United Kingdom,1966,14,fighter aircraft,New
Kuwait,United Kingdom,1968,6,trainer/combat aircraft,New
Kuwait,United Kingdom,1970,6,trainer/combat aircraft,New
Kuwait,United Kingdom,1953,15,APC,New
Kuwait,United Kingdom,1956,15,APV,New
Kuwait,United Kingdom,1958,25,tank,New
Kuwait,United Kingdom,1967,25,tank,Second hand
Kuwait,United Kingdom,1968,70,tank,New
Kenya,United Kingdom,1973,2,fighter aircraft,Second hand but modernized
Peru,United Kingdom,1958,2,bomber aircraft,New
Kenya,United Kingdom,1967,10,armoured car,Second hand
Kenya,United Kingdom,1965,15,APC,Second hand
Kenya,United Kingdom,1962,20,APV,New
Kenya,United Kingdom,1970,6,trainer/combat aircraft,New
Jordan,United Kingdom,1964,2,light transport aircraft,New
Jordan,United Kingdom,1968,1,fighter aircraft,Second hand
Jordan,United Kingdom,1962,8,FGA aircraft,Second hand but modernized
Jordan,United Kingdom,1970,3,FGA aircraft,Second hand but modernized
Jordan,United Kingdom,1953,50,tank,New
Jordan,United Kingdom,1953,140,APV,New
Jordan,United Kingdom,1959,100,APC,New
Jordan,United Kingdom,1963,130,armoured car,New
Jordan,United Kingdom,1967,20,APC,New
Jordan,United Kingdom,1967,40,APV,New
Jordan,United Kingdom,1972,150,tank,Second hand
Jamaica,United Kingdom,1962,15,APV,Second hand
Jamaica,United Kingdom,1973,1,light transport aircraft,New
Israel,United Kingdom,1951,5,trainer aircraft,Second hand
Israel,United Kingdom,1953,15,fighter aircraft,Second hand
Jordan,United Kingdom,1950,2,light aircraft,Second hand
Israel,United Kingdom,1955,6,fighter aircraft,Second hand
Kuwait,United Kingdom,1962,60,armoured car,New
Israel,United Kingdom,1949,25,tank,Second hand
Jordan,United Kingdom,1958,2,helicopter,New
Israel,United Kingdom,1958,16,tank,Second hand
Iraq,United Kingdom,1952,25,APV,New
Jordan,United Kingdom,1950,3,light aircraft,New
Iraq,United Kingdom,1954,30,fighter aircraft,New
Iraq,United Kingdom,1953,6,trainer aircraft,New
Iraq,United Kingdom,1951,21,trainer aircraft,New
Iraq,United Kingdom,1954,2,light helicopter,New
Iraq,United Kingdom,1953,12,fighter aircraft,New
Iraq,United Kingdom,1954,15,trainer aircraft,New
Peru,United Kingdom,1965,6,bomber aircraft,Second hand
Iraq,United Kingdom,1964,20,trainer aircraft,New
Iraq,United Kingdom,1963,12,helicopter,New
Iraq,United Kingdom,1963,24,fighter aircraft,New
Iran,United Kingdom,1965,25,SAM,New
Iran,United Kingdom,1967,15,SAM system,New
Indonesia,United Kingdom,1959,55,APV,New
Indonesia,United Kingdom,1959,69,armoured car,New
Indonesia,United Kingdom,1959,55,APC,New
Indonesia,United Kingdom,1968,3,light transport aircraft,New
Indonesia,United Kingdom,1955,8,trainer aircraft,New
Greece,United Kingdom,1949,40,light tank,Second hand
Ghana,United Kingdom,1960,6,helicopter,New
Ghana,United Kingdom,1971,8,light transport aircraft,New
Ghana,United Kingdom,1973,6,light transport aircraft,New
Ghana,United Kingdom,1971,13,trainer aircraft,New
Ghana,United Kingdom,1959,15,armoured car,New
Ghana,United Kingdom,1959,30,APV,New
Jordan,United Kingdom,1949,3,light aircraft,Second hand
Australia,United Kingdom,1972,10,ASW helicopter,New
Kuwait,United Kingdom,1983,4,landing craft,New
Lebanon,United Kingdom,1952,3,trainer aircraft,New
Spain,United Kingdom,1985,17,light tank,New
Saudi Arabia,United Kingdom,1985,30,trainer/combat aircraft,New
Nigeria,United Kingdom,1985,36,tank,New
Jordan,United Kingdom,1952,2,trainer aircraft,Second hand
Thailand,United Kingdom,1982,4,transport aircraft,New
Jordan,United Kingdom,1952,1,light aircraft,Second hand
Saudi Arabia,United Kingdom,1986,48,FGA aircraft,New
Iran,United Kingdom,1974,1,support ship,New
UAE,United Kingdom,1983,1,light transport aircraft,New
Nepal,United Kingdom,1984,1,light transport aircraft,New
India,United Kingdom,1985,10,fighter aircraft,New
Indonesia,United Kingdom,1984,3,frigate,Second hand but modernized
Guyana,United Kingdom,1984,1,light transport aircraft,New
Jordan,United Kingdom,1954,1,transport aircraft,New
Singapore,United Kingdom,1981,12,SAM system,New
UAE,United Kingdom,1983,40,light tank,New
Qatar,United Kingdom,1981,12,SAM system,New
Kenya,United Kingdom,1981,40,towed gun,New
Kuwait,United Kingdom,1983,12,trainer/combat aircraft,New
Turkiye,United Kingdom,1986,120,anti-ship missile,New
Brunei,United Kingdom,1979,12,SAM system,New
Turkiye,United Kingdom,1983,750,SAM,New
Turkiye,United Kingdom,1983,36,SAM system,New
Jordan,United Kingdom,1957,2,light transport aircraft,Second hand
Haiti,United Kingdom,1983,1,light transport aircraft,New
Zimbabwe,United Kingdom,1983,5,FGA aircraft,Second hand
Oman,United Kingdom,1983,15,tank,New
Nigeria,United Kingdom,1981,5,ARV,New
Nigeria,United Kingdom,1983,18,FGA aircraft,New
Libya,United Kingdom,1967,1,support ship,New
Kenya,United Kingdom,1978,38,tank,New
Qatar,United Kingdom,1981,8,transport helicopter,New
Oman,United Kingdom,1982,1,FGA aircraft,Second hand
Belize,United Kingdom,1982,2,light transport aircraft,Second hand
Mauritania,United Kingdom,1975,9,light transport aircraft,New
Gambia,United Kingdom,1980,1,light transport aircraft,New
Chile,United Kingdom,1982,3,reconnaissance aircraft,Second hand
Thailand,United Kingdom,1982,50,portable SAM,New
Suriname,United Kingdom,1981,4,light transport aircraft,New
Algeria,United Kingdom,1981,2,landing ship,New
Indonesia,United Kingdom,1982,5,trainer/combat aircraft,New
Bangladesh,United Kingdom,1981,1,frigate,Second hand but modernized
Oman,United Kingdom,1982,1,landing ship,New
New Zealand,United Kingdom,1982,2,ASW helicopter,Second hand
New Zealand,United Kingdom,1981,1,frigate,Second hand
Malaysia,United Kingdom,1982,26,light tank,New
Australia,United Kingdom,1980,2,ASW helicopter,New
Jordan,United Kingdom,1981,4,trainer aircraft,New
Sudan,United Kingdom,1982,3,trainer/combat aircraft,New
Nigeria,United Kingdom,1981,36,tank,New
Singapore,United Kingdom,1981,250,SAM,New
Qatar,United Kingdom,1981,250,SAM,New
UAE,United Kingdom,1982,8,trainer/combat aircraft,New
Burkina Faso,United Kingdom,1981,1,transport aircraft,New
Indonesia,United Kingdom,1981,4,trainer/combat aircraft,New
Libya,United Kingdom,1978,40,aircraft engine,New
Zimbabwe,United Kingdom,1981,2,bomber aircraft,Second hand
Oman,United Kingdom,1983,10,light tank,New
Oman,United Kingdom,1981,2,FAC,New
Mexico,United Kingdom,1976,12,light transport aircraft,New
Zimbabwe,United Kingdom,1980,8,trainer/combat aircraft,New
Nigeria,United Kingdom,1980,5,trainer aircraft,New
Malawi,United Kingdom,1979,4,light transport aircraft,New
Kenya,United Kingdom,1984,2,FAC,New
Italy,United Kingdom,1954,20,fighter aircraft,New
Jordan,United Kingdom,1980,5,trainer aircraft,New
Venezuela,United Kingdom,1978,2,light transport aircraft,New
Oman,United Kingdom,1980,30,light tank,New
Oman,United Kingdom,1980,1,FAC,New
Canada,United Kingdom,1956,120,APV,New
Canada,United Kingdom,1952,374,tank,New
Myanmar,United Kingdom,1956,21,fighter aircraft,Second hand but modernized
Myanmar,United Kingdom,1955,31,trainer aircraft,New
Myanmar,United Kingdom,1954,4,transport aircraft,Second hand
Myanmar,United Kingdom,1953,3,trainer aircraft,New
Myanmar,United Kingdom,1954,4,trainer aircraft,New
Myanmar,United Kingdom,1953,2,transport aircraft,New
Myanmar,United Kingdom,1952,6,trainer aircraft,New
Brazil,United Kingdom,1958,3,helicopter,New
Brunei,United Kingdom,1965,15,APC,Second hand
Brunei,United Kingdom,1966,15,APV,New
Brunei,United Kingdom,1965,2,helicopter,Second hand
Brazil,United Kingdom,1964,3,ASW helicopter,New
Brazil,United Kingdom,1966,10,SAM,New
Argentina,United Kingdom,1968,250,SAM,New
Australia,United Kingdom,1950,1,transport aircraft,New
Australia,United Kingdom,1949,24,fighter aircraft,New
Argentina,United Kingdom,1970,75,SAM,New
Australia,United Kingdom,1950,99,fighter aircraft,New
Botswana,United Kingdom,1980,6,trainer aircraft,New
Mauritius,United Kingdom,1989,1,MP aircraft radar,New
UAE,United Kingdom,1967,4,light transport aircraft,New
UAE,United Kingdom,1968,12,FGA aircraft,Second hand but modernized
UAE,United Kingdom,1974,250,SAM,New
UAE,United Kingdom,1968,65,APV,New
UAE,United Kingdom,1968,70,armoured car,New
UAE,United Kingdom,1968,20,APC,New
Brazil,United Kingdom,1980,1,air/sea search radar,New
UAE,United Kingdom,1974,12,SAM system,New
Tanzania,United Kingdom,1978,36,light tank,New
New Zealand,United Kingdom,1980,26,light tank,New
Botswana,United Kingdom,1979,3,light transport aircraft,New
Jordan,United Kingdom,1979,274,tank,New
Denmark,United Kingdom,1980,1,ASW helicopter,New
India,United Kingdom,1977,3,ASW helicopter,New
Ghana,United Kingdom,1976,6,turbojet,New
Ireland,United Kingdom,1979,1,light transport aircraft,New
Oman,United Kingdom,1980,12,FGA aircraft,New
Kenya,United Kingdom,1979,100,anti-tank missile,New
Australia,United Kingdom,1975,20,SAM system,New
Brunei,United Kingdom,1976,16,light tank,New
Greece,United Kingdom,1977,2,light transport aircraft,New
Mauritania,United Kingdom,1974,2,light transport aircraft,New
Kenya,United Kingdom,1975,9,trainer aircraft,New
Thailand,United Kingdom,1977,154,light tank,New
UAE,United Kingdom,1978,36,light tank,New
Panama,United Kingdom,1978,1,light transport aircraft,New
Botswana,United Kingdom,1978,2,light transport aircraft,New
Lebanon,United Kingdom,1975,6,FGA aircraft,Second hand but modernized
Iran,United Kingdom,1972,2,landing ship,New
Brazil,United Kingdom,1977,7,ASW helicopter,Second hand
Bangladesh,United Kingdom,1978,1,frigate,Second hand
Brunei,United Kingdom,1979,250,SAM,New
Indonesia,United Kingdom,1978,8,trainer/combat aircraft,New
Ethiopia,United Kingdom,1965,1,light transport aircraft,New
Canada,United Kingdom,1977,195,tank turret,New
Denmark,United Kingdom,1977,7,ASW helicopter,New
Brazil,United Kingdom,1972,1,submarine,New
Brazil,United Kingdom,1969,2,submarine,New
Cameroon,United Kingdom,1976,2,transport aircraft,New
Tunisia,United Kingdom,1975,2,patrol craft,New
Saudi Arabia,United Kingdom,1975,12,trainer/combat aircraft,New
Philippines,United Kingdom,1976,41,light tank,New
Peru,United Kingdom,1974,11,bomber aircraft,Second hand
Oman,United Kingdom,1974,12,FGA aircraft,New
Oman,United Kingdom,1974,600,SAM,New
Oman,United Kingdom,1974,4,patrol craft,New
Oman,United Kingdom,1977,1,landing ship,New
Nigeria,United Kingdom,1977,12,trainer aircraft,New
Nigeria,United Kingdom,1971,2,patrol craft,New
Nigeria,United Kingdom,1975,40,SAM,New
Nigeria,United Kingdom,1975,55,armoured car,New
Kuwait,United Kingdom,1977,143,tank,New
Iran,United Kingdom,1971,707,tank,New
Iran,United Kingdom,1974,250,light tank,New
Ecuador,United Kingdom,1974,12,FGA aircraft,New
Argentina,United Kingdom,1977,2,ASW helicopter,New
Brazil,United Kingdom,1975,9,ASW helicopter,New
Brazil,United Kingdom,1970,550,SAM,New
Botswana,United Kingdom,1977,3,light transport aircraft,New
Cameroon,United Kingdom,1961,8,APV,Second hand
Guyana,United Kingdom,1976,1,patrol craft,New
Somalia,United Kingdom,2012,25,APC,Second hand
Qatar,United Kingdom,1972,6,patrol craft,New
Myanmar,United Kingdom,1960,40,APC/APV,Second hand
Myanmar,United Kingdom,1954,26,tank,Second hand
Brazil,United Kingdom,2015,36,combat aircraft radar,New
Australia,United Kingdom,1951,111,turbojet,New
Greece,United Kingdom,1975,1,height-finding radar,New
Australia,United Kingdom,2011,20,BVRAAM,New
Thailand,United Kingdom,1954,4,fighter aircraft,Second hand
Thailand,United Kingdom,1950,30,fighter aircraft,Second hand
Thailand,United Kingdom,1950,48,trainer aircraft,New
Malawi,United Kingdom,1985,70,portable SAM,New
South Africa,United Kingdom,2008,82,SAM,New
Thailand,United Kingdom,2008,2,ship engine,New
Australia,United Kingdom,2011,1,AALS,Second hand
Australia,United Kingdom,2017,1,helicopter,Second hand
Norway,United Kingdom,2009,200,ASW torpedo,New
Australia,United Kingdom,2010,35,towed gun,New
Saudi Arabia,United Kingdom,2009,350,ASM,New
Denmark,United Kingdom,1975,3,air/sea search radar,New
Malaysia,United Kingdom,1962,1,frigate,Second hand but modernized
Malaysia,United Kingdom,1964,2,minesweeper,Second hand
Bahrain,United Kingdom,2001,1,transport aircraft,New
Saudi Arabia,United Kingdom,2007,48,FGA aircraft,New
Thailand,United Kingdom,1950,12,FGA aircraft,Second hand
Chile,United Kingdom,1995,8,anti-ship missile,Second hand
Japan,United Kingdom,1952,3,light helicopter,New
Chile,United Kingdom,1986,10,anti-ship missile,Second hand
Switzerland,United Kingdom,1973,30,FGA aircraft,New
Oman,United Kingdom,1990,12,FGA aircraft,New
Ghana,United Kingdom,1990,4,light transport aircraft,New
Oman,United Kingdom,1990,4,trainer/combat aircraft,New
Finland,United Kingdom,1988,5,self-propelled AA gun turret,New
United States,United Kingdom,1987,2,transport aircraft,Second hand
United States,United Kingdom,1988,1,air search radar,New
Kenya,United Kingdom,1988,12,trainer aircraft,New
Chile,United Kingdom,1986,10,anti-ship missile,Second hand
Zimbabwe,United Kingdom,1950,10,armoured car,Second hand
Saudi Arabia,United Kingdom,1986,24,fighter aircraft,New
India,United Kingdom,1954,3,frigate,New
Australia,United Kingdom,1963,4,submarine,New
Chile,United Kingdom,1971,75,SAM,New
Brunei,United Kingdom,1964,1,FAC,New
Australia,United Kingdom,1965,97,turbojet,New
Sri Lanka,United Kingdom,1954,3,light helicopter,New
Canada,United Kingdom,1950,2,FGA aircraft,New
Jordan,United Kingdom,1957,1,light helicopter,New
India,United Kingdom,1955,35,light aircraft,New
Netherlands,United Kingdom,1954,20,fighter aircraft,New
India,United Kingdom,1954,5,target tow aircraft,Second hand
India,United Kingdom,1957,5,target tow aircraft,Second hand
United States,United Kingdom,1984,18,transport aircraft,New
Lebanon,United Kingdom,1953,16,armoured car,Second hand but modernized
Ethiopia,United Kingdom,1968,4,bomber aircraft,Second hand but modernized
Iran,United Kingdom,1977,2,landing ship,New
Chile,United Kingdom,1981,15,anti-ship missile,Second hand
Malaysia,United Kingdom,1962,5,minesweeper,Second hand but modernized
Switzerland,United Kingdom,1959,3,fighter aircraft,New
Switzerland,United Kingdom,1971,30,FGA aircraft,New
Belgium,United Kingdom,1949,175,fighter aircraft,New
Brazil,United Kingdom,1970,6,frigate,New
Australia,United Kingdom,1975,570,SAM,New
Spain,United Kingdom,1978,6,aircraft engine,New
Netherlands,United Kingdom,1948,2,air search radar,New
Netherlands,United Kingdom,1948,2,height-finding radar,New
Netherlands,United Kingdom,1948,2,air search radar,New
Netherlands,United Kingdom,1956,1,air search radar,New
Japan,United Kingdom,2003,14,transport helicopter,New
India,United Kingdom,1957,12,bomber aircraft,New
Israel,United Kingdom,1961,42,aircraft engine,New
Israel,United Kingdom,1955,12,aircraft engine,New
Argentina,United Kingdom,1971,4,aircraft engine,New
Germany,United Kingdom,1956,372,aircraft engine,New
Nigeria,United Kingdom,1970,12,aircraft engine,New
Philippines,United Kingdom,1980,6,aircraft engine,New
Peru,United Kingdom,1976,4,aircraft engine,New
Argentina,United Kingdom,1979,4,aircraft engine,New
Myanmar,United Kingdom,1949,5,trainer aircraft,Second hand
Myanmar,United Kingdom,1949,5,light transport aircraft,New
Iran,United Kingdom,1969,34,aircraft engine,New
Algeria,United Kingdom,1974,12,aircraft engine,New
Iran,United Kingdom,1974,16,aircraft engine,New
Algeria,United Kingdom,1976,10,aircraft engine,New
Chile,United Kingdom,2011,2,transport helicopter,Second hand
Kenya,United Kingdom,1981,4,naval gun,New
Canada,United Kingdom,1950,14,ship engine,New
Canada,United Kingdom,1953,14,ship engine,New
Canada,United Kingdom,1968,4,ASW mortar,New
Canada,United Kingdom,1958,3,naval gun,New
Canada,United Kingdom,1950,14,ASW mortar,New
Canada,United Kingdom,1953,14,ASW mortar,New
Canada,United Kingdom,1958,10,ASW mortar,New
Ghana,United Kingdom,1965,1,landing craft,Second hand
Myanmar,United Kingdom,1966,3,light aircraft,New
Yugoslavia,United Kingdom,1950,1,light transport aircraft,New
Iran,United Kingdom,1972,4,landing/patrol craft,New
Netherlands,United Kingdom,1958,70,tank,New
Kenya,United Kingdom,1964,3,patrol craft,New
Japan,United Kingdom,2003,4,air refuel system,New
Australia,United Kingdom,2004,5,air refuel system,New
Saudi Arabia,United Kingdom,2008,3,air refuel system,New
Spain,United Kingdom,2000,5,turbofan,New
Sweden,United Kingdom,1960,290,vehicle engine,New
Iran,United Kingdom,1969,2,landing/patrol craft,New
Netherlands,United Kingdom,1951,19,turbojet,New
Oman,United Kingdom,1968,5,trainer aircraft,New
Syria,United Kingdom,1952,2,fighter aircraft,Second hand
Syria,United Kingdom,1955,9,fighter aircraft,Second hand
United States,United Kingdom,2005,1,air refuel system,New
United States,United Kingdom,1998,1,air refuel system,New
United States,United Kingdom,2006,1,air refuel system,New
Turkiye,United Kingdom,1955,147,turbojet,New
Nigeria,United Kingdom,1982,4,aircraft engine,New
Italy,United Kingdom,1951,5,turbojet,New
Australia,United Kingdom,1952,3,light transport aircraft,New
Japan,United Kingdom,2009,1,air refuel system,New
Malaysia,United Kingdom,1963,4,patrol craft,New
Italy,United Kingdom,1998,6,air refuel system,New
Canada,United Kingdom,1990,5,air refuel system,New
Malaysia,United Kingdom,1995,2,air refuel system,New
Malaysia,United Kingdom,1965,14,patrol craft,New
United States,United Kingdom,1995,33,air refuel system,New
Malaysia,United Kingdom,1961,6,patrol craft,New
Sweden,United Kingdom,1955,4,air search radar,New
Saudi Arabia,United Kingdom,1967,5,air search radar,New
NATO**,United Kingdom,1966,14,height-finding radar,New
NATO**,United Kingdom,1955,14,height-finding radar,New
Singapore,United Kingdom,1970,1,landing ship,Second hand
Germany,United Kingdom,1959,460,turbojet,New
India,United Kingdom,1956,294,turbojet,New
Jordan,United Kingdom,2009,12,APC,Second hand
Bangladesh,United Kingdom,2010,2,OPV,Second hand
New Zealand,United Kingdom,1955,5,trainer aircraft,Second hand
New Zealand,United Kingdom,1955,21,fighter aircraft,Second hand
Sweden,United Kingdom,2005,2000,anti-tank missile,New
Malaysia,United Kingdom,1964,4,FAC,New
France,United Kingdom,1965,1,landing ship,Second hand
Qatar,United Kingdom,2017,300,guided bomb,New
Italy,United Kingdom,2008,4,MP aircraft radar,New
Brazil,United Kingdom,2008,1,landing ship,Second hand
Sri Lanka,United Kingdom,1971,32,APC,New
Spain,United Kingdom,2008,4,turbofan,New
Iraq,United Kingdom,2006,60,APC,Second hand
Saudi Arabia,United Kingdom,1999,100,guided bomb,Second hand
Ecuador,United Kingdom,2007,2,trainer/combat aircraft,Second hand
Brazil,United Kingdom,2007,1,landing ship,Second hand
Malaysia,United Kingdom,2002,3,fire control radar,New
Philippines,United Kingdom,2005,1,transport aircraft,Second hand
Saudi Arabia,United Kingdom,2006,261,APC,New
Nepal,United Kingdom,2003,2,light transport aircraft,Second hand
Nepal,United Kingdom,1994,15,APV,Second hand
Ghana,United Kingdom,1961,2,light transport aircraft,New
Uruguay,United Kingdom,2002,2,helicopter,Second hand
Jordan,United Kingdom,2002,104,tank,Second hand
Pakistan,United Kingdom,1953,1,destroyer,Second hand
Jordan,United Kingdom,1999,288,tank,Second hand
Portugal,United Kingdom,1956,15,trainer aircraft,Second hand
Yugoslavia,United Kingdom,1951,63,bomber aircraft,Second hand
Bangladesh,United Kingdom,1973,2,helicopter,Second hand
Pakistan,United Kingdom,1957,3,destroyer,Second hand but modernized
Pakistan,United Kingdom,1956,2,destroyer,Second hand but modernized
South Yemen,United Kingdom,1967,3,minesweeper,Second hand
Malaysia,United Kingdom,1957,4,minesweeper,New
Malaysia,United Kingdom,1960,1,minesweeper,Second hand
Libya,United Kingdom,1958,2,light aircraft,Second hand
France,United Kingdom,1953,15,minesweeper,New
Norway,United Kingdom,1950,3,submarine,Second hand
Oman,United Kingdom,1967,3,transport aircraft,Second hand but modernized
Jordan,United Kingdom,1954,10,fighter aircraft,Second hand
Qatar,United Kingdom,1968,2,helicopter,Second hand
Nepal,United Kingdom,1964,3,light transport aircraft,Second hand
Egypt,United Kingdom,1974,23,transport helicopter,New
France,United Kingdom,1951,416,aircraft engine,New
India,United Kingdom,1958,4,patrol craft,New
Japan,United Kingdom,2007,16,turbofan,New
Canada,United Kingdom,1947,384,turbojet,New
Saudi Arabia,United Kingdom,2012,22,trainer/combat aircraft,New
Portugal,United Kingdom,1960,148,light aircraft,New
France,United Kingdom,1963,80,aircraft engine,New
France,United Kingdom,1977,58,aircraft engine,New
Germany,United Kingdom,1964,220,aircraft engine,New
Italy,United Kingdom,2001,15,turbojet,New
Romania,United Kingdom,1986,17,turbojet,New
United States,United Kingdom,1948,4108,turbojet,New
United States,United Kingdom,1947,600,turbojet,New
France,United Kingdom,1950,350,turbojet,New
Romania,United Kingdom,2000,9,turbojet,New
Romania,United Kingdom,1971,402,turbojet,New
Italy,United Kingdom,1963,6,ship engine,New
Italy,United Kingdom,1992,21,turbojet,New
Italy,United Kingdom,1976,101,turbojet,New
United States,United Kingdom,1950,4600,turbojet,New
Bangladesh,United Kingdom,2017,2,MP aircraft radar,New
Yugoslavia,United Kingdom,1960,250,turbojet,New
United States,United Kingdom,2005,275,towed gun,New
Japan,United Kingdom,1983,48,ship engine,New
United States,United Kingdom,1975,300,turbofan,New
