Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 2 Nov 2024 10:23:14 PM

Recipient,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,1950-2023,Percentage,Sum total years,Percentage of total
Singapore,,,,,,,6,,,,,,,,,1,8,,6,138,92,171,182,99,294,254,253,171,50,338,410,167,176,245,83,123,84,277,542,233,513,370,111,170,179,302,165,619,804,308,788,248,234,85,380,544,76,397,1115,1415,936,876,749,756,68,153,637,404,547,470,154,204,493,802,20475,1.0%,20475,1.0%
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,29,208,29,,,,0 ,,29,,1,4,,0 ,0 ,9,9,,2,5,,,,47,34,15,25,1,3,74,668,0.0%,668,0.0%
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,22,11,22,31,9,4,19,2,41,2,17,17,3,3,2,,10,40,28,,,1,,,,,,,9,,26,331,0.0%,331,0.0%
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,7,,,26,0.0%,26,0.0%
Somalia,,,,,,,,,,,10,2,0 ,11,,30,52,72,4,1,,,21,165,283,128,185,44,57,48,122,97,61,23,15,42,15,,,,16,,,,,,,,,1,,,,,,,,,,,,,,3,,1,2,2,,8,2,2,,4,1529,0.1%,1529,0.1%
South Africa,37,73,183,53,49,105,270,173,169,68,13,,232,518,301,386,496,299,216,211,510,309,291,369,177,235,419,503,392,128,196,126,48,218,126,28,194,20,17,11,11,26,361,244,239,38,38,11,,21,6,18,,,,262,741,914,493,134,178,208,127,1,50,2,,,,,,,30,30,12352,0.6%,12352,0.6%
South Korea,155,256,266,263,158,351,461,295,269,257,200,180,132,218,283,631,570,130,357,499,93,235,373,253,450,653,555,1198,376,1349,915,887,677,496,524,764,869,771,1220,1849,1214,921,795,1024,1029,1965,1984,1230,1417,1636,1399,774,520,754,1055,802,1659,1730,1691,798,1299,1568,1076,189,742,268,1038,962,1030,1605,1273,812,423,189,57304,2.8%,57304,2.8%
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,44,1,2,65,2,10,36,19,8,,,,,8,10,,241,0.0%,241,0.0%
South Vietnam,,,,0 ,45,87,121,28,20,20,43,111,165,131,80,143,182,253,285,568,654,975,2538,629,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7429,0.4%,7429,0.4%
South Yemen,,,,,,,,,,,,,,,,,,29,13,58,17,49,112,86,71,14,,8,55,1078,1218,496,41,99,71,52,74,89,12,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3786,0.2%,3786,0.2%
Southern rebels (Yemen)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,0.0%,80,0.0%
Soviet Union,36,,,8,70,945,1538,1500,1500,975,692,175,174,237,463,485,585,577,543,578,523,525,795,583,957,771,800,876,803,842,767,804,671,725,914,1004,1384,1538,1616,1206,694,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30009,1.5%,30009,1.5%
Spain,1,,,68,88,197,264,287,136,294,214,103,55,14,51,382,302,303,133,183,233,604,759,895,580,1185,831,318,446,656,688,630,507,604,81,327,1089,1091,1942,840,699,109,207,299,853,355,424,211,86,361,320,144,271,249,300,358,312,343,347,228,272,166,219,155,108,152,104,82,149,35,71,135,198,186,25884,1.3%,25884,1.3%
Sri Lanka,0 ,,0 ,17,,8,1,2,20,31,4,,,,0 ,,,,,2,,33,47,,,1,0 ,17,7,,18,,,,48,42,28,111,19,6,19,168,22,37,77,64,207,48,83,62,293,159,43,34,48,57,96,91,79,21,5,21,,22,5,,,45,100,59,,54,3,5,2491,0.1%,2491,0.1%
Sudan,,,,,,,,2,5,4,9,15,19,8,36,5,10,7,16,177,598,87,69,23,3,,,26,208,4,3,209,90,25,106,66,9,122,77,16,4,46,6,,,3,27,63,,36,,106,50,204,294,134,71,35,130,88,184,175,97,130,66,134,109,65,33,18,,,3,,4362,0.2%,4362,0.2%
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,5,10,,,,0 ,2,,8,,5,2,,,,,,,,,,,,23,2,,,,,,,,,,,,0 ,7,,3,,,,,,,,,67,0.0%,67,0.0%
Sweden,225,297,316,431,319,447,541,253,170,253,227,165,130,320,403,323,299,339,222,157,122,122,171,231,256,292,214,114,229,250,248,440,158,179,106,84,118,125,152,127,94,55,60,46,307,106,98,196,294,224,206,165,74,66,47,78,120,51,51,17,11,191,207,54,44,26,70,32,7,7,3,122,318,98,13116,0.6%,13116,0.6%
Switzerland,154,151,321,169,142,230,313,223,232,289,219,37,4,52,263,228,373,177,199,166,141,147,185,115,63,136,142,4,217,226,272,289,175,442,404,341,108,151,179,318,438,474,386,102,118,93,187,379,435,506,22,67,62,117,203,168,83,108,17,39,48,32,10,6,5,12,73,4,10,10,10,10,15,33,12279,0.6%,12279,0.6%
Syria,109,1,20,18,9,105,145,473,122,37,38,27,35,89,65,100,524,905,829,875,870,735,1517,3282,3410,1411,527,931,871,2045,1867,1349,1983,2235,1811,1575,1262,1409,1312,663,739,315,277,166,14,25,25,25,45,48,49,23,40,64,20,30,95,15,309,220,433,513,526,511,26,22,8,37,199,36,80,7,,,40533,2.0%,40533,2.0%
Syria rebels*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0 ,,,2,,1,,,,,5,0.0%,5,0.0%
Taiwan,,98,304,383,320,622,256,440,723,921,472,108,146,320,347,478,326,477,299,583,588,352,245,329,372,344,484,802,789,522,521,791,804,731,442,656,969,594,654,360,475,659,477,1157,858,1318,1433,4746,3939,1736,592,342,291,115,319,695,503,13,11,36,71,173,411,582,1048,600,93,487,92,65,121,163,171,224,42986,2.1%,42986,2.1%
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,13,7,,34,,,,4,,,7,19,4,5,,,3,,124,0.0%,124,0.0%
Tanzania,,,,,,,,,,,,,,,4,4,22,1,,,11,60,51,121,185,48,,47,67,260,53,121,9,,,,1,,,5,,,18,,5,,4,,,,2,,1,51,,10,12,1,,29,,78,115,118,14,20,20,2,17,,8,52,,,1645,0.1%,1645,0.1%
Thailand,62,91,45,25,77,49,10,88,15,10,28,52,108,108,93,87,58,140,88,124,250,243,147,339,114,88,155,111,199,314,330,350,82,254,350,185,162,539,623,289,235,572,426,183,610,530,734,937,76,172,80,116,152,131,120,115,99,8,16,63,60,251,276,377,105,183,342,321,631,291,143,150,251,279,15516,0.8%,15516,0.8%
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,14,,,,,,,,,,,,,32,0.0%,32,0.0%
Togo,,,,,,,,,,,1,,,,0 ,0 ,,,1,1,2,1,,4,,15,47,1,9,9,28,19,4,2,,,16,0 ,0 ,,,9,8,,3,3,,9,,,,,,,,,,,,,1,,,,15,,,,,6,5,10,60,,289,0.0%,289,0.0%
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,,,6,6,6,,,,,0 ,,,,,,,,,,,,,,,,,,,5,,,,7,7,,,,38,0.0%,38,0.0%
Trinidad and Tobago,,,,,,,,,,,,,,,,11,0 ,,,,,,11,2,,,,,,,22,6,,,,,,0 ,,,,,,,,,,,,,11,0 ,2,,,,,6,,,24,12,12,,,46,30,,,,,32,,,226,0.0%,226,0.0%
Tunisia,,,,,,,,11,,13,44,6,,7,4,40,,5,17,23,49,0 ,4,26,14,14,10,73,14,122,103,56,60,103,116,314,,56,17,48,4,20,32,,35,56,68,41,18,12,,,44,1,,168,2,,3,,7,7,,40,49,7,39,97,181,15,16,19,21,19,2387,0.1%,2387,0.1%
Turkiye,117,136,337,171,172,445,300,608,602,916,593,312,266,582,835,412,335,593,426,644,396,941,1095,789,1279,639,358,293,984,917,487,731,483,477,549,678,472,1429,1628,1017,1241,1270,1879,2329,1891,1567,1491,1512,2627,1734,1182,506,893,331,257,1094,529,701,649,731,467,756,1481,769,1527,445,328,429,488,769,108,282,186,936,57825,2.8%,57825,2.8%
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,21,,,,7,36,28,237,112,69,72,170,434,109,,,,377,,,1688,0.1%,1688,0.1%
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,13,0.0%,13,0.0%
UAE,,,,,,,,,,,,,,,,,,,13,13,69,24,26,88,100,153,283,304,217,18,201,427,160,163,310,144,137,199,42,661,561,237,201,578,565,420,480,686,753,435,244,183,221,676,1145,2072,1925,821,730,604,646,1239,1139,2283,738,1186,946,832,1128,862,574,530,452,902,30747,1.5%,30747,1.5%
UIC (Somalia)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,,,,,,,,,,,,,,,,,,0 ,0.0%,0 ,0.0%
UNITA (Angola)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,14,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0.0%,27,0.0%
Uganda,,,,,,,,,,,,,,,3,1,16,4,27,16,3,3,20,17,46,123,34,7,,,,,14,,,10,,32,1,20,,,,,,32,,,55,39,6,,33,,36,10,5,0 ,14,28,37,468,213,20,2,7,1,22,10,23,76,8,65,,1604,0.1%,1604,0.1%
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22,5,4,70,30,18,46,2789,4012,6998,0.3%,6998,0.3%
Ukraine Rebels*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,24,0.0%,24,0.0%
United Kingdom,101,246,535,1610,537,322,141,93,554,543,26,34,38,139,118,152,216,1422,2288,2570,60,171,217,234,319,337,251,262,191,232,557,812,766,292,639,355,273,207,281,209,120,940,1134,783,411,496,568,496,752,132,937,1282,720,769,215,31,375,837,570,399,502,390,595,509,217,423,282,1002,458,402,652,878,863,555,38045,1.8%,38045,1.8%
United Nations**,,,,,,,,,,,16,0 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,14,49,11,,,1,7,30,,,,2,1,2,1,0 ,,,,,5,23,3,9,,,,,,,,177,0.0%,177,0.0%
United States,352,695,875,1315,1896,1892,2071,1371,701,645,221,238,264,323,326,190,109,84,70,70,38,582,773,658,586,388,499,384,369,253,380,531,248,463,382,654,420,1993,1788,1783,363,516,541,973,958,791,588,610,261,220,327,488,497,592,575,535,651,834,985,989,1051,984,1224,797,595,512,435,495,350,892,803,846,748,693,49597,2.4%,49597,2.4%
United Wa State (Myanmar)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,3,0.0%,3,0.0%
Uruguay,68,3,39,3,1,2,22,12,9,,17,0 ,100,0 ,2,8,6,,10,12,10,16,24,6,5,13,53,2,8,9,21,100,15,17,,12,,,16,41,41,63,25,18,11,12,4,19,27,9,4,,13,,,20,8,3,78,29,20,,,3,9,13,,,10,,25,3,7,5,1162,0.1%,1162,0.1%
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,,,,,,,,30,,,,18,100,55,5,114,77,46,60,22,17,562,0.0%,562,0.0%
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,13,0.0%,13,0.0%
Venezuela,63,,25,195,135,64,406,275,120,9,64,32,32,34,6,,69,216,20,8,15,130,165,395,252,230,170,216,59,14,370,920,707,242,234,517,92,73,105,120,189,318,72,37,1,5,37,39,8,85,108,106,44,15,9,21,380,767,738,366,211,600,689,993,180,124,95,,14,,79,,,81,13207,0.6%,13207,0.6%
Viet Cong (South Vietnam)*,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,0.0%,40,0.0%
Viet Minh (France)*,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0%,3,0.0%
Viet Nam,,,,,10,19,9,54,26,59,103,95,47,107,258,650,1137,1100,1179,909,1214,1197,1315,1283,859,493,42,42,227,1249,1017,1073,532,916,557,28,78,50,65,128,116,,,,,273,214,111,209,168,11,97,58,22,299,221,42,8,186,61,161,1016,782,360,1225,869,924,783,604,161,33,245,96,55,27531,1.3%,27531,1.3%
Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,,25,,8,,,39,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,,,,,,,,78,0.0%,78,0.0%
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,113,,,4,167,,,1,52,158,70,585,58,248,311,38,66,41,5,261,47,38,23,6,33,7,6,9,,,,1,,2426,0.1%,2426,0.1%
Yemen Arab Republic (North Yemen),,,,,,,,,,,,,,,,,,42,27,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,0.0%,80,0.0%
Yugoslavia,,182,490,525,534,334,352,229,112,284,259,175,364,426,284,315,309,454,499,535,534,573,418,263,291,701,663,731,543,899,632,571,762,730,293,354,343,328,710,326,307,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17773,0.9%,17773,0.9%
ZAPU (Zimbabwe)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0%,1,0.0%
Zambia,,,,,,,,,,,,,,,7,16,17,,,7,4,165,29,19,9,48,109,41,42,4,136,253,43,,18,,,,,,,,,,,,8,,,,43,,2,,,0 ,30,5,2,,,1,61,,,15,44,46,,43,3,20,2,5,1294,0.1%,1294,0.1%
Zimbabwe,1,11,2,8,36,27,8,,61,,15,,16,20,,,,21,,,,5,21,0 ,2,42,19,4,13,,,15,81,34,33,28,212,29,2,,2,47,63,0 ,,,,,1,25,8,10,,16,14,25,25,,,,,,,,,,,,,,,,,20,1020,0.0%,1020,0.0%
eSwatini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,2,,,,10,0.0%,10,0.0%
unknown rebel group*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,0 ,0.0%,0 ,0.0%
unknown recipient(s),,,,,,,,,,10,10,18,38,67,76,76,58,58,58,58,18,10,10,5,5,,,,,,30,85,86,87,87,87,87,87,87,41,,11,11,19,5,9,3,,4,,,2,,0 ,0 ,,,,12,,8,6,,32,33,13,32,17,31,48,36,7,6,3,1683,0.1%,1683,0.1%
Total world import,8130,11587,16611,23604,20072,20497,24656,24168,25588,21477,17765,16410,17710,20235,26545,25016,24904,25310,26052,28646,25467,32820,34236,36138,36709,37303,35778,40314,42667,38293,41925,45559,45720,43987,41799,38204,39078,39417,36695,35053,30341,28090,24231,25832,22999,22934,23779,28925,27790,24953,19416,18742,17813,19052,21254,21365,24416,26542,24196,24449,25937,30097,27913,27126,27023,28353,30784,31200,27380,27219,23758,26352,33544,29104,2065055,100%,2065055,

